### BDSIM output created Mon Jun 24 15:22:44 2013
 ####
# PT E[GeV] X[mum] Y[mum] Z[m] Xp[rad] Yp[rad]  
2212 450 -18.1268 124.144 3 -5.56985e-06 4.04414e-05
2212 450 -107.885 775.857 19.115 -5.56985e-06 4.04414e-05
2212 450 -117.911 848.652 20.915 -5.56985e-06 4.04414e-05
2212 450 -121.03 871.299 21.475 -5.56985e-06 4.04414e-05
2212 450 -121.03 871.299 21.475 -5.56985e-06 4.04414e-05
2212 450 -121.03 871.299 21.475 -5.56985e-06 4.04414e-05
2212 450 -129.329 931.557 22.965 -5.56985e-06 4.04414e-05
2212 450 -351.324 248.623 29.335 -7.65549e-05 -0.000213705
2212 450 -351.324 248.623 29.335 -7.65549e-05 -0.000213705
2212 450 -351.324 248.623 29.335 -7.65549e-05 -0.000213705
2212 450 -390.138 140.275 29.842 -7.65549e-05 -0.000213705
2212 450 -390.214 140.061 29.843 -7.65549e-05 -0.000213705
2212 450 -390.291 139.847 29.844 -7.65549e-05 -0.000213705
2212 450 -390.291 139.847 29.844 -7.65549e-05 -0.000213705
2212 450 -390.291 139.847 29.844 -7.65549e-05 -0.000213705
2212 450 -390.291 139.847 29.844 -7.65549e-05 -0.000213705
2212 450 -390.291 139.847 29.844 -7.65549e-05 -0.000213705
2212 450 -519.439 -220.674 31.531 -7.65549e-05 -0.000213705
2212 450 -519.439 -220.674 31.531 -7.65549e-05 -0.000213705
2212 450 -519.439 -220.674 31.531 -7.65549e-05 -0.000213705
2212 450 -519.439 -220.674 31.531 -7.65549e-05 -0.000213705
2212 450 -519.439 -220.674 31.531 -7.65549e-05 -0.000213705
2212 450 -519.439 -220.674 31.531 -7.65549e-05 -0.000213705
2212 450 -559.324 -332.014 32.052 -7.65549e-05 -0.000213705
2212 450 -533.33 -2074 37.552 8.48556e-05 -0.000493337
2212 450 -533.33 -2074 37.552 8.48556e-05 -0.000493337
2212 450 -533.33 -2074 37.552 8.48556e-05 -0.000493337
2212 450 -533.33 -2074 37.552 8.48556e-05 -0.000493337
2212 450 -533.33 -2074 37.552 8.48556e-05 -0.000493337
2212 450 -533.33 -2074 37.552 8.48556e-05 -0.000493337
2212 450 -533.33 -2074 37.552 8.48556e-05 -0.000493337
2212 450 -533.33 -2074 37.552 8.48556e-05 -0.000493337
2212 450 -493.533 -2305.37 38.021 8.48556e-05 -0.000493337
2212 450 -493.448 -2305.87 38.022 8.48556e-05 -0.000493337
2212 450 -493.363 -2306.36 38.023 8.48556e-05 -0.000493337
2212 450 -493.363 -2306.36 38.023 8.48556e-05 -0.000493337
2212 450 -493.363 -2306.36 38.023 8.48556e-05 -0.000493337
2212 450 -493.363 -2306.36 38.023 8.48556e-05 -0.000493337
2212 450 -493.363 -2306.36 38.023 8.48556e-05 -0.000493337
2212 450 -493.363 -2306.36 38.023 8.48556e-05 -0.000493337
2212 450 -493.363 -2306.36 38.023 8.48556e-05 -0.000493337
2212 450 -493.363 -2306.36 38.023 8.48556e-05 -0.000493337
2212 450 -448.305 -2568.32 38.554 8.48556e-05 -0.000493337
2212 450 198.648 -8035.62 44.054 0.000121736 -0.00172575
2212 450 198.648 -8035.62 44.054 0.000121736 -0.00172575
2212 450 198.648 -8035.62 44.054 0.000121736 -0.00172575
2212 450 198.648 -8035.62 44.054 0.000121736 -0.00172575
2212 450 198.648 -8035.62 44.054 0.000121736 -0.00172575
2212 450 198.648 -8035.62 44.054 0.000121736 -0.00172575
2212 450 198.648 -8035.62 44.054 0.000121736 -0.00172575
2212 450 198.648 -8035.62 44.054 0.000121736 -0.00172575
2212 450 198.648 -8035.62 44.054 0.000121736 -0.00172575
2212 450 198.648 -8035.62 44.054 0.000121736 -0.00172575
2212 450 198.648 -8035.62 44.054 0.000121736 -0.00172575
2212 450 198.648 -8035.62 44.054 0.000121736 -0.00172575
2212 450 198.648 -8035.62 44.054 0.000121736 -0.00172575
2212 450 198.648 -8035.62 44.054 0.000121736 -0.00172575
2212 450 198.648 -8035.62 44.054 0.000121736 -0.00172575
2212 450 198.648 -8035.62 44.054 0.000121736 -0.00172575
2212 450 198.648 -8035.62 44.054 0.000121736 -0.00172575
2212 450 198.648 -8035.62 44.054 0.000121736 -0.00172575
2212 450 198.648 -8035.62 44.054 0.000121736 -0.00172575
